title,artist,year,playcount
Powderfinger,Neil Young,1978,2
The Word,The Beatles,1965,1
Night Prowler,AC/DC,1979,1
Tiny Dancer,Elton John,1971,51
Gimme Shelter,Rolling Stones,1969,96
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,8
I'm Bad I'm Nationwide,ZZ Top,1979,10
Presence of the Lord,Blind Faith,1969,1
Love Song,Tesla,1989,4
Beast Of Burden,Rolling Stones,1978,86
Day Tripper,Paul McCartney & Wings,2009,1
Cum On Feel the Noize,Quiet Riot,1973,29
New World Man,Rush,1982,7
Jungle Love,Steve Miller Band,1977,43
The Changeling,The Doors,1971,1
Shine On You Crazy Diamond,Pink Floyd,1975,2
Love Bites,Def Leppard,1987,25
Penny Lane,The Beatles,1967,3
Man On The Corner,Genesis,1981,12
Find Your Way Back,Jefferson Starship,1981,20
Talk To Ya Later,The Tubes,1981,2
No No Song,Ringo Starr,1974,3
Those Shoes,Eagles,1979,14
Shanty,Jonathan Edwards,1971,2
Cuts Like a Knife,Bryan Adams,1983,17
Fire On High,Electric Light Orchestra,1975,18
Can't You Hear Me Knocking,Rolling Stones,1971,5
Pearl Necklace,ZZ Top,1981,5
Night Flight,Led Zeppelin,1975,1
Southern Cross,Crosby Stills & Nash,1982,9
Don't Stop Believin',Journey,1981,105
Her Strut,Bob Seger,1980,29
Ticket to Ride,The Beatles,1965,4
Let the Music Do the Talking,Aerosmith,1985,1
All That You Dream,Little Feat,1975,1
Penny On The Floor,Clarks,1991,1
Hypnotized,Bob Welch,1973,2
Frankenstein,Edgar Winter Group,1972,58
A Man I'll Never Be,Boston,1978,1
Paradise By The Dashboard Light,Meat Loaf,1977,10
Down To The Waterline,Dire Straits,1978,12
The Passenger,Iggy Pop,1977,1
You Oughta Know,Alanis Morissette,1995,6
Wait For You,Bonham,1989,1
Miss You,Rolling Stones,1978,89
Are You Gonna Be My Girl,Jet,2003,1
Cry Sister,Royal Bliss,2014,6
Let's Dance,David Bowie,1983,20
Little By Little,Robert Plant,1985,8
Silly Love Songs,Paul McCartney & Wings,1976,3
Reprise / Day in the Life,The Beatles,1967,12
Spirit In The Night,Bruce Springsteen,1973,5
Dogs,Pink Floyd,1977,1
The Song Remains the Same,Led Zeppelin,1973,2
Little Bit of Sympathy,Robin Trower,1974,1
Rocket,Def Leppard,1987,15
Don't Go Away Mad (Just Go Away),Motley Crue,1989,4
Love Is Like A Rock,Donnie Iris,1981,1
Eight Miles High,The Byrds,1966,2
Monkey Bars,Coney Hatch,1982,1
The Chain,Fleetwood Mac,1977,65
No Reply At All,Genesis,1981,18
From the Beginning,Emerson Lake & Palmer,1972,1
Fool For The City,Foghat,1975,26
Ventura Highway,America,1972,1
Driven to Tears,The Police,1980,4
Mrs. Robinson,Simon & Garfunkel,1968,13
That Smell,Lynyrd Skynyrd,1977,24
Don't Tell Me You Love Me,Night Ranger,1982,2
Juke Box Hero,Foreigner,1981,75
Come Together,Aerosmith,1978,65
Over the Mountain,Ozzy Osbourne,1981,16
In Your Eyes,Peter Gabriel,1986,28
All My Love,Led Zeppelin,1979,83
AND WE DANCED,Hooters,1985,4
When You Close Your Eyes,Night Ranger,1983,1
Surrender,Cheap Trick,1978,57
Sex On Fire,Kings of Leon,2008,1
YOU GOTTA MOVE,Rolling Stones,1971,1
It Don't Come Easy,Ringo Starr,1971,5
Touch Me,The Doors,1969,45
Hotel Illness,The Black Crowes,1992,1
Road To Nowhere,Ozzy Osbourne,1991,1
Rock of Ages,Def Leppard,1983,65
Heartbreaker,Pat Benatar,1979,80
3 Strange Days,School Of Fish,1991,1
Kickstart My Heart,Motley Crue,1989,25
I Am the Walrus,The Beatles,1967,5
With a Little Luck,Paul McCartney & Wings,1978,2
Until It Sleeps,Metallica,1996,2
Photograph,Ringo Starr,1973,4
Barracuda,Heart,1977,113
Life by the Drop,Stevie Ray Vaughan,1991,1
IT'S TOO LATE,Carole King,1971,1
Wild Wild Life,Talking Heads,1986,7
A Horse With No Name,America,1972,26
Wango Tango,Ted Nugent,1980,1
Rock This Town,Stray Cats,1981,15
Blitzkrieg Bop,The Ramones,1976,17
Sara,Fleetwood Mac,1980,1
Stand,R.E.M.,1988,18
Modern Day Cowboy,Tesla,1986,3
She's Tight,Cheap Trick,1982,1
Why Can't This Be Love,Van Halen,1986,44
Sweet Emotion,Aerosmith,1975,141
Long Cool Woman,Hollies,1971,39
The Kids Are Alright,The Who,1965,2
What Is and What Should Never Be,Led Zeppelin,1969,40
The Core,Eric Clapton,1977,1
I'm A Loser,The Beatles,1964,2
Rock On,David Essex,1974,33
Empty Spaces/young Lust,Pink Floyd,1979,12
Follow You Follow Me,Genesis,1978,18
Blister In the Sun,Violent Femmes,1982,1
Tequila Sunrise,Eagles,1973,4
What It Takes,Aerosmith,1989,31
Them Bones,Alice In Chains,1992,2
Spill the Wine,The Animals,1970,3
Stone In Love,Journey,1981,32
Movin' Out (Anthony's Song),Billy Joel,1977,26
Space Oddity,David Bowie,1969,47
Europa,Santana,1977,4
Love Is Alive,Gary Wright,1975,2
The Waiting,Tom Petty & The Heartbreakers,1981,37
Squeeze Box,The Who,1975,15
Saturday Night's Alright for Fighting,Elton John,1973,34
Feelin' Alright,Joe Cocker,1969,33
Good Riddance (Time Of Your Life),Green Day,1997,10
A Saturday Club Xmas/Crimble Medley,The Beatles,2001,1
My Own Worst Enemy,Lit,1999,2
Burden in My Hand,Soundgarden,1996,1
Coming into Los Angeles,Arlo Guthrie,1969,1
If You Wanna Get to Heaven,Ozark Mountain Daredevils,1973,2
Spirit In The Sky,Norman Greenbaum,1969,31
The Fire Down Below,Bob Seger,1976,18
Everybody Knows This Is Nowhere,Neil Young,1969,1
Threshold/Jet Airliner,Steve Miller Band,1977,23
Send Her My Love,Journey,1983,1
I'll Wait,Van Halen,1984,53
Yesterday,The Beatles,1965,10
In Bloom,Nirvana,1991,11
The Dogs Of War,Pink Floyd,1987,2
Feel Your Love Tonight,Van Halen,1978,20
Misunderstanding,Genesis,1980,23
Gallows Pole,Led Zeppelin,1970,4
Black Coffee In Bed,Squeeze,1982,1
Knockin' On Heaven's Door,Guns N' Roses,1991,31
Double Vision,Foreigner,1978,83
Arnold Layne,Pink Floyd,1967,1
Another Brick in the Wall Pt. 2,Pink Floyd,1979,58
Dog On A Leash,Adelitas Way,2014,4
Rock And Roll Party In The Streets,Axe,1982,1
Again Tonight,John Mellencamp,1991,1
Closer to the Heart,Rush,1977,31
Cold As Ice,Foreigner,1977,102
Get Back,The Beatles,1969,52
Foreplay (Long Time),Boston,1976,94
One Bourbon One Scotch One Beer,George Thorogood,1977,23
She Talks To Angels,The Black Crowes,1990,44
Gypsy,Fleetwood Mac,1982,67
The Legend Of Wooley Swamp,Charlie Daniels Band,1980,1
Heart of Glass,Blondie,1978,11
Let There Be Rock,AC/DC,1977,3
Jet,Paul McCartney & Wings,1973,12
Yankee Rose,David Lee Roth,1986,8
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,1993,2
Changes,Yes,1983,13
All You Need Is Love,The Beatles,1967,3
Black Mountain Side,Led Zeppelin,1969,1
Caught Up in You,.38 Special,1982,82
Seven Nation Army,The White Stripes,2003,1
Rebel Yell,Billy Idol,1984,89
IN MY LIFE,The Beatles,1965,5
Don't Do Me Like That,Tom Petty & The Heartbreakers,1979,69
Turn Me Loose,Loverboy,1980,16
Life's Been Good,Joe Walsh,1978,91
Crossfire,Stevie Ray Vaughan,1989,17
Let's Ride,Kid Rock,2012,1
House Of Living,Heartsfield,1973,1
ANYTIME AT ALL,The Beatles,1964,1
Babe I'm Gonna Leave You,Led Zeppelin,1969,24
Love the One You're With,Stephen Stills,1971,14
Refugee,Tom Petty & The Heartbreakers,1979,97
Layla,Eric Clapton,1970,0
Medusa,Trapeze,1970,1
Just Got Paid,ZZ Top,1972,2
Good Day Sunshine,The Beatles,1966,1
Neon Knights,Black Sabbath,1980,1
Honky Tonk Women,Rolling Stones,1969,87
Just A Job To Do,Genesis,1983,29
Your Song,Elton John,1970,17
No More Tears,Ozzy Osbourne,1991,8
The Sounds Of Silence,Simon & Garfunkel,1966,4
Santa Monica,Everclear,1996,2
Sweet Leaf,Black Sabbath,1971,34
Living in the U.S.A.,Steve Miller Band,1968,1
Down Under,Men At Work,1982,5
Clampdown,The Clash,1979,2
Slide It In,Whitesnake,1984,1
Time Stand Still (live),Rush,1987,1
Back In the High Life Again,Steve Winwood,1986,1
Scarlet Begonias,Grateful Dead,1974,2
Stay with Me,Rod Stewart,1971,2
Where the Streets Have No Name,U2,1987,36
Time After Time,Ozzy Osbourne,1991,2
Panic in Detroit,David Bowie,1973,1
Like A Rolling Stone,Rolling Stones,1965,1
50 Ways to Leave Your Lover,Paul Simon,1975,1
Up On Cripple Creek,The Band,1969,1
My Hero,Foo Fighters,1997,7
Best of You,Foo Fighters,2005,1
Come Sail Away,Styx,1977,93
Wish You Were Here,Pink Floyd,1975,87
Oh Well,Rockets,1979,1
Ramblin' Man,Allman Brothers Band,1973,34
Screaming In The Night,Krokus,1983,3
Signs,Five Man Electrical Band,1970,10
Man In The Box,Alice In Chains,1990,13
Better Off Without You,Clarks,2000,2
Livin' On A Prayer,Bon Jovi,1986,74
Brain Stew/Jaded,Green Day,1995,1
Plush,Stone Temple Pilots,1992,33
Used To Bad News,Boston,1978,1
Melissa,Allman Brothers Band,1972,6
When You Dance I Can Really Love,Neil Young,1979,1
Born To Be My Baby,Bon Jovi,1989,1
BAD BOY,The Beatles,1965,1
House Of The Rising Sun,The Animals,1964,18
Look What The Cat Dragged In,Poison,1986,1
Radioactive,Imagine Dragons,2012,3
Hysteria,Def Leppard,1987,24
Helter Skelter,The Beatles,1968,5
Walk On The Wild Side,Lou Reed,1972,31
Waiting for a Girl Like You,Foreigner,1981,5
Proud Mary,Creedence Clearwater Revival,1969,48
Move Over,Janis Joplin,1971,2
Rhiannon,Fleetwood Mac,1975,48
Comfortably Numb,Pink Floyd,1979,92
American Girl,Tom Petty & The Heartbreakers,1977,74
To Hell With the Devil,Stryper,1986,1
The Way It Is,Bruce Hornsby & The Range,1986,7
Only The Good Die Young,Billy Joel,1977,21
Travelin' Man,Bob Seger,1975,4
It's Late,Queen,1977,1
Blinded by the Light,Manfred Mann,1976,114
My My Hey Hey,Neil Young,1979,3
The Stroke,Billy Squier,1981,83
Whippin' Post,Allman Brothers Band,1969,6
Loser,3 Doors Down,2000,1
I'm So Glad,Cream,1966,1
Big Shot,Billy Joel,1978,27
Pinball Wizard,The Who,1969,54
Invincible,Pat Benatar,1985,1
Alison,Elvis Costello,1977,13
Goodbye Blue Sky,Pink Floyd,1979,11
In the City,Joe Walsh,1979,6
All The Kings Horses,Firm,1986,1
The Boys Of Summer,Don Henley,1985,73
China Grove,The Doobie Brothers,1973,40
Train Kept A-Rollin',Aerosmith,1974,15
Crazy,Aerosmith,1993,7
Captain Fantastic,Elton John,1975,1
Run to You,Bryan Adams,1984,42
Tush,ZZ Top,1975,109
Ziggy Stardust,David Bowie,1972,7
Feels Like the First Time,Foreigner,1977,75
Can't Get Enough,Winger,1990,1
Nothin' at All,Heart,1985,4
Lick It Up,Kiss,1983,4
Natural Thing,The Doobie Brothers,1973,1
Far Behind,Candlebox,1993,3
Strange Magic,Electric Light Orchestra,1985,5
Let's Go,The Cars,1979,73
Stay With Me,Faces,1971,19
Don't Get Me Wrong,The Pretenders,1986,10
My City Was Gone,The Pretenders,1984,18
Tales Of Brave Ulysses,Cream,1967,1
In America,Charlie Daniels Band,1980,1
Sugar Magnolia,Grateful Dead,1970,3
San Franciscan Nights,The Animals,1967,1
Don't Cry,Guns N' Roses,1991,3
Roller,April Wine,1978,1
THE BITCH IS BACK,Elton John,1974,1
Do Ya,Electric Light Orchestra,1976,27
Pink Houses,John Mellencamp,1984,34
Dreamer,Supertramp,1974,2
Jackie Blue,Ozark Mountain Daredevils,1975,2
Leather and Lace,Stevie Nicks,1981,3
Take Your Whiskey Home,Van Halen,1980,8
Brain Damage /Eclipse,Pink Floyd,1973,41
The Stake,Steve Miller Band,1977,2
Rockin' In the Free World,Neil Young,1989,38
Joe's Garage,Frank Zappa,1979,1
Fooling Yourself,Styx,1977,24
Under the Bridge,Red Hot Chili Peppers,1991,28
While My Guitar Gently Weeps,The Beatles,1968,29
Beer Drinkers & Hell Raisers,ZZ Top,1973,8
Sweet Child O' Mine,Guns N' Roses,1987,85
Thick As A Brick,Jethro Tull,1972,15
You See Me Crying,Aerosmith,1975,1
On a Plain,Nirvana,1991,2
Feels So Good,Van Halen,1988,1
Rain On The Scarecrow,John Mellencamp,1985,1
Come Out and Play,The Offspring,1994,4
Well All Right,Santana,1978,1
Questions 67 and 68,Chicago,1969,1
The Wizard,Black Sabbath,1970,1
Friday on My Mind,David Bowie,1973,1
Imagine,John Lennon,1971,31
Back in the Saddle,Aerosmith,1976,39
Turn Up the Radio,Autograph,1984,21
Too Much Time On My Hands,Styx,1981,46
Loco-Motion,Grand Funk Railroad,1974,9
Mary Jane's Last Dance,Tom Petty & The Heartbreakers,1993,51
Rocky Mountain Way,Joe Walsh,1973,70
I CAN SEE CLEARLY NOW,Johnny Nash,1972,2
Dude (Looks Like a Lady),Aerosmith,1987,42
Something's Happening/,Peter Frampton,1974,1
And She Was,Talking Heads,1985,19
About a Girl,Nirvana,1989,2
Hard To Handle,The Black Crowes,1990,83
Hypnotized,Fleetwood Mac,1973,2
Welcome to the Jungle,Guns N' Roses,1987,74
Draw The Line,Aerosmith,1977,1
Twice As Hard,The Black Crowes,1990,10
Dixie Chicken,Little Feat,1973,20
THE LAST TIME,Rolling Stones,1965,2
Crazy On You,Heart,1976,125
Hold On,Triumph,1979,1
Love Me Do,The Beatles,1962,1
House Of Fire,Alice Cooper,1989,1
The Ballad Of Billy The Kid,Billy Joel,1973,2
Sirens,Pearl Jam,2013,3
Finding My Way,Rush,1974,1
I Need to Know,Tom Petty & The Heartbreakers,1978,14
Takin' It To The Streets,The Doobie Brothers,1976,1
Girls Got Rhythm,AC/DC,1979,24
I Melt With You,Modern English,1982,15
Knockin' On Heaven's Door,Bob Dylan,1973,22
All Star,Smash Mouth,1999,2
We've Got Tonight,Wildlife,1983,4
Turn To Stone,Joe Walsh,1972,2
No Sleep Till Brooklyn,Beastie Boys,1986,3
Nobody's Fault But Mine,Led Zeppelin,1976,10
We Will Rock You/We Are The Champions,Queen,1977,89
All She Wants to Do Is Dance,Don Henley,1985,10
Polly,Nirvana,1991,2
Metal Health,Quiet Riot,1983,4
Fantasy,Aldo Nova,1982,4
Just My Imagination,Rolling Stones,1978,1
Everlong,Foo Fighters,1997,6
Rock & Roll Band,Boston,1976,59
Let's Get It Up,AC/DC,2013,4
Dream Weaver,Gary Wright,1975,9
Light My Fire,The Doors,1967,49
Breadfan,Metallica,1998,2
Crossroads,Cream,1968,22
Coming Home,Cinderella,1988,1
Can't Get Enough,Bad Company,1974,41
Bullet the Blue Sky,U2,1987,5
Too Many People,Paul McCartney & Linda McCartney,1971,1
Us and Them,Pink Floyd,1973,25
Lovely Rita,The Beatles,1967,2
Under My Wheels,Alice Cooper,1971,18
Sun King,The Beatles,1969,1
One Thing Leads To Another,The Fixx,1983,22
New Girl Now,Honeymoon Suite,1984,2
Lightning Bolt,Pearl Jam,2013,4
D'Yer Mak'er,Led Zeppelin,1973,88
Ramble On,Led Zeppelin,1969,90
Do You Remember Rock 'n' Roll Radio,The Ramones,1980,16
Come Together,The Beatles,1969,69
Crosstown Traffic,Jimi Hendrix,1968,8
Cry For A Shadow,The Beatles,1961,1
Tonight She Comes,The Cars,1985,18
Beginnings,Chicago,1969,1
Veronica,Elvis Costello,1989,8
Time,Pink Floyd,1973,74
Stealin',Uriah Heep,1973,2
The Grand Illusion,Styx,1977,14
Once In A Lifetime,Talking Heads,1980,46
Turn To Stone,Electric Light Orchestra,1978,5
Intruder/ Pretty Woman,Van Halen,2016,10
(You Can Still) Rock in America,Night Ranger,1983,3
Smokin',Boston,1976,33
Nineteen Hundred and Eighty Five,Paul McCartney & Wings,1974,4
Even the Losers,Tom Petty & The Heartbreakers,1979,10
Bitch,Rolling Stones,1971,5
Cult Of Personality,Living Colour,1988,12
Bennie And The Jets,Elton John,1973,62
Fashion,David Bowie,1980,17
Time/Gig in The Sky,Pink Floyd,1973,1
MLK/Pride,U2,1984,5
One Love,Bob Marley,1977,2
Fool In the Rain,Led Zeppelin,1979,69
Arrested For Driving While Blind,ZZ Top,1976,1
Key To The Rhyme,Lake,1976,1
Life in the Fast Lane,Eagles,1976,86
Back In Black,AC/DC,1980,97
I've Seen All Good People,Yes,1971,34
P.s. I Love You,The Beatles,1962,1
If 6 Was 9,Jimi Hendrix,1967,1
SHE'S ALWAYS A WOMAN,Billy Joel,1977,1
Empty Pages,Traffic,1970,2
What Do You Do For Money Honey,AC/DC,1980,2
This Is The Time,Nothing More,2014,3
Dancing In the Street,Van Halen,1982,57
Too Hot To Handle,UFO,1977,19
Southbound,Allman Brothers Band,1973,2
Jessie's Girl,Rick Springfield,1981,2
Your're Sixteen,Ringo Starr,1974,2
Learn To Fly,Foo Fighters,1999,10
Looking For A Love,J. Geils Band,1971,1
Big Ten Inch,Aerosmith,1975,3
Maggie May,Rod Stewart,1971,49
Take Me In Your Arms,The Doobie Brothers,1975,13
Hello Goodbye,The Beatles,1967,26
Hold On Loosely,.38 Special,1981,85
W*O*L*D*,Harry Chapin,1974,1
JUST YOU AND ME,Chicago,1973,1
Southern Man,Neil Young,1970,16
When Love Comes to Town,U2,1988,1
Everybody Wants Some!!,Van Halen,1980,16
Woman,Legs Diamond,1977,2
Big Gun,AC/DC,1993,6
I'll Fall In Love Again,Sammy Hagar,1982,3
Dear Prudence,The Beatles,1968,1
AIN'T NO SUNSHINE,Bill Withers,1971,1
Livin' On the Fault Line,The Doobie Brothers,1977,1
Back Door Man,The Doors,1967,4
Start Me Up,Rolling Stones,1981,83
Born To Run,Bruce Springsteen,1975,31
What It's Like,Everlast,1999,4
A Face In The Crowd,Tom Petty & The Heartbreakers,1989,1
Got To Get You Into My Life,The Beatles,1966,5
Dazed and Confused,Led Zeppelin,1969,15
Peace Frog,The Doors,1970,9
Like a Stone,Audioslave,2002,1
Smooth,Santana,1999,2
Every Rose Has Its Thorn,Poison,1988,22
Don't You,Simple Minds,1985,44
THESE ARE THE DAYS OF OUR LI,Queen,1991,1
Scenes From An Italian Restaurant,Billy Joel,1977,3
Angel Of Harlem,U2,1988,1
If I Say,Kingofthehill,1991,1
Norwegian Wood,The Beatles,1965,1
Round and Round,Ratt,1984,48
Some Kind of Wonderful,Grand Funk Railroad,1975,14
I CAN'T EXPLAIN,The Who,1965,1
The Kid Is Hot Tonite,Loverboy,1980,2
Green Grass & High Tides,The Outlaws,1975,1
Wasted Years,Iron Maiden,1986,8
#9 Dream,John Lennon,1974,2
We Just Disagree,Dave Mason,1977,1
Big Time,Peter Gabriel,1986,24
Heartless,Heart,1977,3
Brown Eyed Girl,Van Morrison,1967,55
Reelin' in the Years,Steely Dan,1972,40
Mistral Wind,Heart,1978,1
Show Don't Tell,Rush,1989,2
Love Reign O'er Me,The Who,1973,18
I'm the One,Van Halen,1978,4
Willie and the Hand Jive,Eric Clapton,1974,1
Never,Heart,1985,3
We've Got Tonite,Bob Seger,1978,1
Deacon Blues,Steely Dan,1977,1
Message In A Bottle,The Police,1979,86
Come to Poppa,Bob Seger,1976,4
Turn The Page,Bob Seger,1973,91
Hey You,Clarks,2002,1
Monkey Man,Rolling Stones,1969,4
True Fine Love,Steve Miller Band,1977,1
Goodbye Daughters of the Revolution,The Black Crowes,2008,1
Every Little Thing She Does Is Magic,The Police,1981,60
Thank You,Led Zeppelin,1969,8
The Logical Song,Supertramp,1979,76
Oye Como Va,Santana,1970,37
WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,1973,2
Why Don't We Get Drunk,Jimmy Buffett,1973,2
Friend Of The Devil,Grateful Dead,1970,2
Sugar Mountain,Neil Young,1969,2
Badge,Cream,1969,13
We're Not Gonna Take It,The Who,1969,3
All Night Long,Joe Walsh,1980,41
Swingtown,Steve Miller Band,1977,58
Don't Ask Me Why,Billy Joel,1980,2
Highway Song,Blackfoot,1979,17
Jackie Wilson Said,Van Morrison,1972,1
Under Pressure,Queen / David Bowie,1981,73
Gold On The Ceiling,The Black Keys,2011,3
Simple Man,Junkyard,1989,1
Life Is a Highway,Tom Cochrane,1992,10
My Michelle,Guns N' Roses,1987,1
I'll Follow The Sun,The Beatles,1964,1
Hey Jude,The Beatles,1968,22
Kodachrome,Paul Simon,1973,2
She's Waiting,Eric Clapton,1985,3
Burn,Deep Purple,1974,1
Evil Ways,Santana,1969,37
Desire,U2,1988,13
Jaded,Aerosmith,2001,1
No Turning Back,Sherbs,1980,1
Jane Says,Jane's Addiction,1988,1
Walk of Life,Dire Straits,1985,15
Romeo And Juliet,Dire Straits,1980,8
The Unforgiven,Metallica,1991,19
No Sugar Tonight / New Mother Nature,Guess Who,1970,11
Invisible Sun,The Police,1981,2
Machinehead,Bush,1994,3
Evil Woman,Electric Light Orchestra,1975,42
All My Loving,The Beatles,1963,4
Let's Get the Show on the Road,Michael Stanley,1973,1
Same Ol' Situation,Motley Crue,1989,4
Bad,U2,1984,5
Spirits In The Material World,The Police,1981,19
Feeling That Way,Journey,1978,13
Give It To Me,J. Geils Band,1973,28
Summer In the City,The Lovin' Spoonful,1966,2
The Great Gig In the Sky,Pink Floyd,1973,4
Up Around the Bend,Creedence Clearwater Revival,1970,10
U.S. Blues,Grateful Dead,1974,2
Can't Stand Losing You,The Police,1978,6
Renegade,Styx,1978,116
We're Not Gonna Take It,Twisted Sister,1984,39
Boulevard Of Broken Dreams,Green Day,2004,6
Couldn't Stand the Weather,Stevie Ray Vaughan,1984,5
We Can Work It Out,The Beatles,1965,18
Rice Pudding,Jeff Beck,1969,1
Don't Let Me Be Misunderstood,Animals II,1965,1
I'm So Afraid,Fleetwood Mac,1975,1
Loves Me Like a Rock,Paul Simon,1973,1
Into the Great Wide Open,Tom Petty & The Heartbreakers,1991,8
Rock 'n' Roll High School,The Ramones,1979,3
Do You Feel Like We Do,Peter Frampton,1973,37
The Logical Song,Roger Hodgson,1979,1
Moby Dick,Led Zeppelin,1969,5
Delaware Slide,George Thorogood,1977,1
Counting Blue Cars,Dishwalla,1995,3
Cruisin',Michael Nesmith,1979,1
Panama,Van Halen,1984,89
Sweet Home Alabama,Lynyrd Skynyrd,1974,95
Devil With the Blue Dress On,Mitch Ryder,1966,1
One Vision,Queen,1985,1
Kashmir,Led Zeppelin,1975,64
Spill the Wine,War,1970,2
Abracadabra,Steve Miller Band,1982,18
China Girl,David Bowie,1983,5
Hey Joe,Jimi Hendrix,1966,51
Superstition [Live],Stevie Ray Vaughan,1986,1
Time of the Season,Zombies,1968,14
Wishing Well,Free,1973,1
Space Truckin',Deep Purple,1972,22
A Trick of the Tail,Genesis,1976,1
Birthday,The Beatles,1969,12
The Boys Are Back In Town,Thin Lizzy,1976,106
Roll On Down The Highway,Bachman-Turner Overdrive,1974,5
Cocaine,Eric Clapton,1977,84
Gone Gone Gone,Bad Company,1979,25
Rockaway Beach,The Ramones,1977,1
Honky Cat,Elton John,1972,2
Faithfully,Journey,1983,14
Big City Nights,Scorpions,1984,10
